Source,ID,dn (cm),gamma ((rhoS-rho)/rho); submerged specific density,Kinematic viscsity (cm^2/s),reported w (cm/s)
D+T 1976 from Hallermeier 1981,1,0.044,1.65,0.012,5.59
D+T 1976 from Hallermeier 1981,2,0.044,1.65,0.0116,5.69
D+T 1976 from Hallermeier 1981,3,0.044,1.65,0.0095,6.2
D+T 1976 from Hallermeier 1981,4,0.044,1.65,0.0089,6.4
E+H 1967 from Hallermeier 1981,5,0.016,1.65,0.01,1.6
E+H 1967 from Hallermeier 1981,6,0.023,1.65,0.0131,2.3
E+H 1967 from Hallermeier 1981,7,0.023,1.65,0.01,2.8
E+H 1967 from Hallermeier 1981,8,0.028,1.65,0.0131,2.8
E+H 1967 from Hallermeier 1981,9,0.032,1.65,0.0131,3.3
E+H 1967 from Hallermeier 1981,10,0.028,1.65,0.01,3.3
E+H 1967 from Hallermeier 1981,11,0.032,1.65,0.01,3.9
E+H 1967 from Hallermeier 1981,12,0.047,1.65,0.0131,5
E+H 1967 from Hallermeier 1981,13,0.047,1.65,0.01,5.8
E+H 1967 from Hallermeier 1981,14,0.066,1.65,0.0131,7.7
E+H 1967 from Hallermeier 1981,15,0.066,1.65,0.01,8.4
E+H 1967 from Hallermeier 1981,16,0.084,1.65,0.0131,10
E+H 1967 from Hallermeier 1981,17,0.084,1.65,0.01,11
G 1980 from Hallermeier 1981,18,0.024,1.67,0.01,2.7
H+S 1979 from Hallermeier 1981,19,0.008,0.739,0.0016,0.969
H+S 1979 from Hallermeier 1981,20,0.008,0.794,0.0015,1.11
H+S 1979 from Hallermeier 1981,21,0.008,0.857,0.0014,1.3
H+S 1979 from Hallermeier 1981,22,0.01,0.739,0.0016,1.4
H+S 1979 from Hallermeier 1981,23,0.01,0.794,0.0015,1.62
H+S 1979 from Hallermeier 1981,24,0.01,0.857,0.0014,1.97
H+S 1979 from Hallermeier 1981,25,0.014,0.739,0.0016,2.26
H+S 1979 from Hallermeier 1981,26,0.014,0.794,0.0015,2.32
H+S 1979 from Hallermeier 1981,27,0.014,0.857,0.0014,2.52
H+S 1979 from Hallermeier 1981,28,0.018,0.739,0.0016,2.83
H+S 1979 from Hallermeier 1981,29,0.018,0.794,0.0015,3.05
H+S 1979 from Hallermeier 1981,30,0.018,0.857,0.0014,3.14
H+S 1979 from Hallermeier 1981,31,0.024,0.739,0.0016,3.32
H+S 1979 from Hallermeier 1981,32,0.024,0.794,0.0015,3.54
H+S 1979 from Hallermeier 1981,33,0.024,0.857,0.0014,4.21
H+S 1979 from Hallermeier 1981,34,0.03,0.739,0.0016,4.08
H+S 1979 from Hallermeier 1981,35,0.03,0.794,0.0015,4.51
H+S 1979 from Hallermeier 1981,36,0.03,0.857,0.0014,5.15
Ma 1977 from Hellermeier 1981,37,0.051,0.25,0.0095,1.07
Ma 1977 from Hellermeier 1981,38,0.06,0.25,0.0095,1.52
Ma 1977 from Hellermeier 1981,39,0.072,0.25,0.0095,1.91
Mi 1977 from Hellermeier 1981,40,0.029,0.4,0.01,1.3
Mi 1977 from Hellermeier 1981,41,0.023,1.6,0.01,2.6
Mi 1977 from Hellermeier 1981,42,0.096,0.03,0.01,0.8
Mi 1977 from Hellermeier 1981,43,0.071,0.12,0.01,1.5
Mi 1977 from Hellermeier 1981,44,0.067,0.4,0.01,2.8
Mi 1977 from Hellermeier 1981,45,0.164,0.03,0.01,1.4
Mi 1977 from Hellermeier 1981,46,0.054,1.6,0.01,6.2
Mi 1977 from Hellermeier 1981,47,0.131,0.12,0.01,2.5
Mi 1977 from Hellermeier 1981,48,0.082,0.59,0.01,5
Mi 1977 from Hellermeier 1981,49,0.122,0.4,0.01,5
Mi 1977 from Hellermeier 1981,50,0.222,0.12,0.01,3.7
Na 1970 from Hellermeier 1981,51,0.015,1.66,0.01,2.09
Na 1970 from Hellermeier 1981,52,0.054,0.393,0.01,2.17
Na 1970 from Hellermeier 1981,53,0.118,0.054,0.01,1.65
Na 1970 from Hellermeier 1981,54,0.058,1.65,0.01,7.483
Na 1970 from Hellermeier 1981,55,0.102,0.393,0.01,3.911
Na 1970 from Hellermeier 1981,56,0.136,0.392,0.01,5.36
Nic 1970 from Hellermeier 1981,57,0.047,1.61,0.01,6.4
Nie1970 from Hellermeier 1981,58,0.019,1.65,0.01,2.06
Nie1970 from Hellermeier 1981,59,0.021,1.65,0.01,2.7
Nie1970 from Hellermeier 1981,60,0.04,1.65,0.01,5.1
Nie1970 from Hellermeier 1981,61,0.061,1.65,0.01,6.7
R 1938 from Hellermeier 1981,62,0.017,1.65,0.0084,1.75
R 1938 from Hellermeier 1981,63,0.033,1.65,0.0084,3.69
S 1959 from Hellermeier 1981,64,0.033,0.29,0.0089,1.14
S 1959 from Hellermeier 1981,65,0.022,1.66,0.0114,2.19
US 57 from Hellermeier 1981,66,0.047,1.65,0.0089,5.98
